GBN b 
=========================================================================
                          Station B                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "GBN-B.log", TCP port 59144, debug mask 0x00
Station B is connecting station A (TCP port 59144) ... Done.
New epoch: Sat May 20 15:41:07 2017
=========================================================================
Designed by LXS, build: May 20 2017  13:12:58
2.577 .... 8 packets received, 7754 bps, 96.92%, Err 0 (0.0e+000)
5.795 .... 16 packets received, 6147 bps, 76.83%, Err 1 (2.4e-005)
7.905 .... 24 packets received, 6606 bps, 82.57%, Err 1 (1.7e-005)
10.029 .... 32 packets received, 6852 bps, 85.65%, Err 1 (1.3e-005)
12.133 .... 40 packets received, 7020 bps, 87.75%, Err 1 (1.1e-005)
14.253 .... 48 packets received, 7129 bps, 89.11%, Err 1 (9.1e-006)
16.372 .... 56 packets received, 7209 bps, 90.12%, Err 1 (7.9e-006)
18.459 .... 64 packets received, 7284 bps, 91.05%, Err 1 (7.0e-006)
20.591 .... 72 packets received, 7326 bps, 91.58%, Err 2 (1.2e-005)
22.712 .... 80 packets received, 7364 bps, 92.05%, Err 2 (1.1e-005)
24.816 .... 88 packets received, 7401 bps, 92.51%, Err 2 (1.0e-005)
27.181 .... 93 packets received, 7129 bps, 89.11%, Err 3 (1.4e-005)
29.315 .... 101 packets received, 7170 bps, 89.62%, Err 3 (1.3e-005)
31.433 .... 109 packets received, 7208 bps, 90.10%, Err 4 (1.6e-005)
33.552 .... 117 packets received, 7242 bps, 90.52%, Err 4 (1.5e-005)
35.639 .... 125 packets received, 7278 bps, 90.97%, Err 4 (1.4e-005)
37.789 .... 133 packets received, 7298 bps, 91.22%, Err 4 (1.3e-005)
39.876 .... 137 packets received, 7119 bps, 88.99%, Err 5 (1.6e-005)
41.995 .... 145 packets received, 7150 bps, 89.38%, Err 5 (1.5e-005)
44.114 .... 153 packets received, 7179 bps, 89.73%, Err 5 (1.4e-005)
46.234 .... 161 packets received, 7204 bps, 90.05%, Err 5 (1.4e-005)
48.338 .... 169 packets received, 7230 bps, 90.37%, Err 5 (1.3e-005)
50.473 .... 177 packets received, 7249 bps, 90.61%, Err 6 (1.5e-005)
52.559 .... 185 packets received, 7273 bps, 90.91%, Err 6 (1.4e-005)
54.695 .... 193 packets received, 7289 bps, 91.11%, Err 6 (1.4e-005)
56.800 .... 201 packets received, 7307 bps, 91.34%, Err 6 (1.3e-005)
58.919 .... 209 packets received, 7322 bps, 91.53%, Err 6 (1.3e-005)
61.024 .... 217 packets received, 7338 bps, 91.73%, Err 6 (1.2e-005)
63.127 .... 225 packets received, 7354 bps, 91.92%, Err 6 (1.2e-005)
65.771 .... 231 packets received, 7244 bps, 90.55%, Err 7 (1.3e-005)
67.905 .... 239 packets received, 7258 bps, 90.72%, Err 7 (1.3e-005)
70.011 .... 247 packets received, 7274 bps, 90.92%, Err 7 (1.3e-005)
72.643 .... 253 packets received, 7179 bps, 89.73%, Err 9 (1.6e-005)
74.825 .... 261 packets received, 7188 bps, 89.85%, Err 9 (1.5e-005)
76.896 .... 269 packets received, 7208 bps, 90.10%, Err 9 (1.5e-005)
79.031 .... 277 packets received, 7221 bps, 90.26%, Err 9 (1.4e-005)
81.135 .... 285 packets received, 7235 bps, 90.44%, Err 9 (1.4e-005)
83.222 .... 293 packets received, 7251 bps, 90.64%, Err 9 (1.4e-005)
85.341 .... 301 packets received, 7263 bps, 90.79%, Err 9 (1.3e-005)
87.450 .... 309 packets received, 7275 bps, 90.94%, Err 9 (1.3e-005)
89.568 .... 317 packets received, 7286 bps, 91.08%, Err 9 (1.3e-005)
91.685 .... 325 packets received, 7297 bps, 91.21%, Err 9 (1.2e-005)
93.804 .... 333 packets received, 7306 bps, 91.33%, Err 9 (1.2e-005)
