GBN af 
=========================================================================
                          Station A                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "GBN-A.log", TCP port 59144, debug mask 0x00
Station A is waiting for station B on TCP port 59144 ... Done.
New epoch: Tue May 23 03:56:10 2017
=========================================================================
Designed by LXS, build: May 22 2017  23:29:19
2.704 .... 4 packets received, 3385 bps, 42.31%, Err 1 (4.7e-005)
4.792 .... 12 packets received, 5452 bps, 68.15%, Err 1 (2.6e-005)
6.940 .... 20 packets received, 6154 bps, 76.92%, Err 1 (1.8e-005)
9.098 .... 27 packets received, 6274 bps, 78.42%, Err 1 (1.4e-005)
11.235 .... 35 packets received, 6546 bps, 81.82%, Err 1 (1.2e-005)
13.356 .... 43 packets received, 6737 bps, 84.21%, Err 1 (9.6e-006)
15.445 .... 51 packets received, 6889 bps, 86.12%, Err 1 (8.3e-006)
17.581 .... 59 packets received, 6986 bps, 87.32%, Err 1 (7.3e-006)
19.669 .... 67 packets received, 7078 bps, 88.48%, Err 1 (6.5e-006)
21.790 .... 74 packets received, 7047 bps, 88.09%, Err 1 (5.9e-006)
23.947 .... 82 packets received, 7097 bps, 88.71%, Err 1 (5.4e-006)
26.053 .... 90 packets received, 7153 bps, 89.41%, Err 1 (4.9e-006)
28.158 .... 97 packets received, 7127 bps, 89.09%, Err 1 (4.6e-006)
30.274 .... 105 packets received, 7170 bps, 89.63%, Err 1 (4.3e-006)
32.422 .... 108 packets received, 6883 bps, 86.03%, Err 3 (1.2e-005)
34.529 .... 116 packets received, 6937 bps, 86.72%, Err 3 (1.1e-005)
36.624 .... 124 packets received, 6988 bps, 87.35%, Err 3 (1.1e-005)
38.731 .... 132 packets received, 7031 bps, 87.89%, Err 3 (9.9e-006)
40.845 .... 140 packets received, 7069 bps, 88.36%, Err 3 (9.4e-006)
43.024 .... 147 packets received, 7044 bps, 88.05%, Err 3 (9.0e-006)
45.155 .... 155 packets received, 7075 bps, 88.43%, Err 3 (8.5e-006)
47.243 .... 163 packets received, 7109 bps, 88.86%, Err 3 (8.2e-006)
49.401 .... 171 packets received, 7130 bps, 89.13%, Err 3 (7.8e-006)
52.827 .... 178 packets received, 6938 bps, 86.73%, Err 4 (9.7e-006)
54.930 .... 186 packets received, 6971 bps, 87.14%, Err 4 (9.4e-006)
57.065 .... 194 packets received, 6997 bps, 87.47%, Err 4 (9.0e-006)
60.256 .... 201 packets received, 6864 bps, 85.80%, Err 5 (1.1e-005)
62.376 .... 209 packets received, 6894 bps, 86.17%, Err 5 (1.0e-005)
64.810 .... 217 packets received, 6887 bps, 86.09%, Err 5 (9.9e-006)
66.938 .... 225 packets received, 6913 bps, 86.42%, Err 5 (9.6e-006)
69.041 .... 233 packets received, 6940 bps, 86.75%, Err 5 (9.3e-006)
71.174 .... 241 packets received, 6962 bps, 87.03%, Err 5 (9.0e-006)
73.292 .... 249 packets received, 6985 bps, 87.31%, Err 6 (1.1e-005)
75.400 .... 251 packets received, 6843 bps, 85.54%, Err 8 (1.4e-005)
77.523 .... 259 packets received, 6867 bps, 85.84%, Err 8 (1.3e-005)
79.635 .... 267 packets received, 6891 bps, 86.14%, Err 8 (1.3e-005)
81.728 .... 275 packets received, 6915 bps, 86.44%, Err 8 (1.3e-005)
83.846 .... 283 packets received, 6936 bps, 86.70%, Err 8 (1.2e-005)
86.324 .... 291 packets received, 6927 bps, 86.58%, Err 8 (1.2e-005)
88.442 .... 299 packets received, 6946 bps, 86.83%, Err 8 (1.2e-005)
90.550 .... 307 packets received, 6965 bps, 87.07%, Err 8 (1.1e-005)
92.637 .... 315 packets received, 6985 bps, 87.32%, Err 8 (1.1e-005)
94.771 .... 323 packets received, 7001 bps, 87.51%, Err 8 (1.1e-005)
96.842 .... 330 packets received, 6999 bps, 87.49%, Err 8 (1.1e-005)
98.946 .... 338 packets received, 7016 bps, 87.70%, Err 8 (1.0e-005)
101.049 .... 346 packets received, 7032 bps, 87.90%, Err 8 (1.0e-005)
104.795 .... 354 packets received, 6937 bps, 86.71%, Err 9 (1.1e-005)
106.940 .... 362 packets received, 6951 bps, 86.89%, Err 9 (1.1e-005)
107.125 ** WARNING: System too busy, sleep 15 ms, but be awakened 85 ms later
109.074 .... 370 packets received, 6965 bps, 87.07%, Err 9 (1.1e-005)
111.144 .... 378 packets received, 6983 bps, 87.29%, Err 9 (1.0e-005)
113.283 .... 386 packets received, 6996 bps, 87.45%, Err 9 (1.0e-005)
115.421 .... 394 packets received, 7008 bps, 87.60%, Err 9 (1.0e-005)
117.492 .... 402 packets received, 7024 bps, 87.80%, Err 10 (1.1e-005)
119.594 .... 410 packets received, 7038 bps, 87.97%, Err 10 (1.1e-005)
121.731 .... 418 packets received, 7049 bps, 88.11%, Err 10 (1.1e-005)
123.834 .... 426 packets received, 7061 bps, 88.27%, Err 10 (1.0e-005)
125.953 .... 434 packets received, 7073 bps, 88.41%, Err 10 (1.0e-005)
128.078 .... 442 packets received, 7083 bps, 88.54%, Err 10 (1.0e-005)
130.144 .... 450 packets received, 7097 bps, 88.71%, Err 11 (1.1e-005)
132.318 .... 454 packets received, 7042 bps, 88.03%, Err 11 (1.1e-005)
134.408 .... 462 packets received, 7054 bps, 88.18%, Err 11 (1.0e-005)
136.509 .... 470 packets received, 7066 bps, 88.32%, Err 11 (1.0e-005)
138.617 .... 478 packets received, 7077 bps, 88.46%, Err 11 (1.0e-005)
140.755 .... 486 packets received, 7086 bps, 88.57%, Err 11 (1.0e-005)
142.861 .... 494 packets received, 7096 bps, 88.70%, Err 11 (9.8e-006)
144.985 .... 502 packets received, 7105 bps, 88.81%, Err 11 (9.7e-006)
147.079 .... 510 packets received, 7115 bps, 88.94%, Err 11 (9.5e-006)
149.435 .... 515 packets received, 7071 bps, 88.39%, Err 12 (1.0e-005)
151.559 .... 523 packets received, 7081 bps, 88.51%, Err 12 (1.0e-005)
153.692 .... 531 packets received, 7089 bps, 88.61%, Err 12 (9.9e-006)
155.812 .... 539 packets received, 7098 bps, 88.72%, Err 12 (9.8e-006)
157.899 .... 547 packets received, 7108 bps, 88.84%, Err 12 (9.7e-006)
160.033 .... 555 packets received, 7115 bps, 88.94%, Err 12 (9.5e-006)
162.157 .... 563 packets received, 7123 bps, 89.04%, Err 12 (9.4e-006)
164.288 .... 571 packets received, 7130 bps, 89.13%, Err 12 (9.3e-006)
166.361 .... 579 packets received, 7140 bps, 89.25%, Err 12 (9.2e-006)
168.494 .... 584 packets received, 7110 bps, 88.88%, Err 12 (9.1e-006)
170.635 .... 592 packets received, 7117 bps, 88.96%, Err 12 (9.0e-006)
172.775 .... 599 packets received, 7112 bps, 88.90%, Err 12 (8.9e-006)
174.878 .... 607 packets received, 7120 bps, 89.00%, Err 12 (8.8e-006)
